                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7895,                 1.9084,                 1.6292,                0.45545,                0.50614,                0.46471,                0.23956,                 1.6327,                 1.5635,                 1.4099,               0.070217,              0.0033092,              0.0033092
                      1,                 1.4976,                  1.319,                 1.3862,                0.53134,                0.47514,                0.49249,                0.25185,                 1.6186,                 1.6873,                  1.391,               0.040199,              0.0066237,              0.0066237
                      2,                 1.4669,                 1.2843,                 1.3382,                0.53395,                0.48948,                0.49651,                 0.2537,                 1.6859,                 1.4325,                 1.3579,               0.010161,              0.0099194,              0.0099194
                      3,                 1.4932,                 1.2702,                 1.3373,                0.53634,                0.42465,                0.44985,                0.24147,                 1.6958,                 1.5374,                 1.4366,              0.0099151,              0.0099151,              0.0099151
                      4,                  1.476,                 1.2329,                 1.3278,                0.53658,                 0.5239,                0.52348,                0.26022,                 1.7073,                   1.62,                  1.382,              0.0099151,              0.0099151,              0.0099151
                      5,                 1.4544,                 1.2098,                 1.3157,                0.58545,                0.51847,                0.55798,                0.30062,                 1.5802,                 1.3943,                 1.3452,              0.0098869,              0.0098869,              0.0098869
                      6,                 1.4364,                 1.1824,                  1.299,                0.52448,                0.49713,                0.50461,                0.26155,                 1.6808,                 1.5066,                 1.3897,              0.0098586,              0.0098586,              0.0098586
                      7,                 1.4332,                  1.176,                 1.2988,                0.48727,                0.40727,                0.42312,                0.22172,                  1.793,                 1.5988,                 1.4784,              0.0098303,              0.0098303,              0.0098303
                      8,                 1.4015,                 1.1409,                 1.2816,                0.59764,                0.48184,                0.55151,                0.30548,                 1.5887,                 1.3377,                 1.3364,               0.009802,               0.009802,               0.009802
                      9,                 1.3839,                  1.118,                 1.2757,                 0.5513,                0.51052,                0.52329,                0.27712,                 1.6254,                 1.5265,                 1.3446,              0.0097737,              0.0097737,              0.0097737
                     10,                 1.3694,                 1.1046,                 1.2643,                0.58414,                0.51835,                0.56422,                0.31265,                 1.5649,                 1.3148,                  1.325,              0.0097454,              0.0097454,              0.0097454
                     11,                 1.3659,                 1.0927,                 1.2582,                0.61086,                0.51338,                0.58089,                0.32226,                 1.6058,                 1.3269,                 1.3204,              0.0097171,              0.0097171,              0.0097171
                     12,                 1.3431,                 1.0684,                 1.2481,                0.60057,                0.51749,                0.56933,                0.31738,                  1.589,                 1.3036,                 1.3413,              0.0096889,              0.0096889,              0.0096889
                     13,                  1.348,                 1.0713,                 1.2514,                0.53664,                0.54685,                0.55168,                0.30721,                 1.5795,                 1.4009,                 1.3199,              0.0096606,              0.0096606,              0.0096606
                     14,                 1.3299,                 1.0497,                 1.2426,                0.60388,                0.50136,                0.56544,                0.31662,                 1.5731,                 1.2924,                 1.3226,              0.0096323,              0.0096323,              0.0096323
                     15,                 1.3115,                 1.0291,                  1.228,                0.59261,                0.53728,                 0.5919,                0.33064,                 1.5731,                 1.2784,                  1.342,               0.009604,               0.009604,               0.009604
                     16,                 1.3061,                 1.0171,                 1.2273,                0.60108,                 0.5301,                0.56876,                0.31322,                 1.5767,                 1.3491,                 1.3271,              0.0095757,              0.0095757,              0.0095757
                     17,                 1.2947,                 1.0066,                 1.2186,                 0.5421,                 0.5717,                0.56869,                0.32017,                 1.5514,                 1.2981,                 1.3304,              0.0095474,              0.0095474,              0.0095474
                     18,                 1.3002,                 1.0113,                 1.2232,                0.61159,                0.55546,                0.59434,                0.33006,                  1.554,                 1.3217,                 1.3109,              0.0095191,              0.0095191,              0.0095191
                     19,                 1.2817,                0.98968,                 1.2124,                0.63316,                0.55545,                0.60588,                0.34325,                 1.5482,                 1.2664,                 1.3181,              0.0094909,              0.0094909,              0.0094909
                     20,                 1.2723,                 0.9727,                  1.205,                0.65084,                0.53824,                0.60015,                0.33126,                 1.5808,                 1.2604,                 1.3329,              0.0094626,              0.0094626,              0.0094626
                     21,                 1.2597,                0.96673,                 1.1971,                0.60579,                0.51625,                0.56693,                0.31606,                 1.5712,                 1.2773,                 1.3295,              0.0094343,              0.0094343,              0.0094343
                     22,                 1.2564,                0.96522,                 1.2013,                0.56814,                0.56023,                0.58941,                0.31989,                 1.5487,                 1.2849,                 1.3167,               0.009406,               0.009406,               0.009406
                     23,                 1.2425,                0.95482,                 1.1968,                0.60759,                0.55066,                0.58846,                0.33814,                 1.5686,                 1.2657,                 1.3154,              0.0093777,              0.0093777,              0.0093777
                     24,                 1.2358,                0.94787,                 1.1892,                0.61848,                0.55641,                 0.5986,                0.33176,                 1.5577,                 1.2706,                  1.327,              0.0093494,              0.0093494,              0.0093494
                     25,                 1.2319,                0.93969,                 1.1819,                0.63124,                0.55449,                0.59751,                0.34338,                 1.5225,                 1.2537,                 1.3058,              0.0093211,              0.0093211,              0.0093211
                     26,                  1.223,                0.92484,                 1.1841,                0.61367,                  0.571,                0.60098,                0.33987,                 1.5591,                 1.2451,                 1.3094,              0.0092929,              0.0092929,              0.0092929
                     27,                 1.2203,                 0.9121,                 1.1724,                0.61949,                0.56597,                0.61943,                0.35172,                 1.5502,                 1.2314,                 1.3017,              0.0092646,              0.0092646,              0.0092646
                     28,                 1.2108,                0.91248,                 1.1729,                0.58838,                0.54015,                0.57433,                0.33166,                 1.5288,                 1.2785,                 1.3019,              0.0092363,              0.0092363,              0.0092363
                     29,                 1.2007,                0.91072,                 1.1721,                0.66146,                0.54207,                0.60206,                0.34461,                  1.541,                 1.2554,                 1.3129,               0.009208,               0.009208,               0.009208
                     30,                 1.2105,                0.90059,                 1.1699,                 0.6314,                0.54589,                0.59394,                0.34055,                 1.5465,                 1.2484,                 1.3197,              0.0091797,              0.0091797,              0.0091797
                     31,                 1.1947,                0.89135,                 1.1609,                0.65352,                0.55832,                 0.6215,                0.35518,                 1.5493,                  1.186,                 1.3136,              0.0091514,              0.0091514,              0.0091514
                     32,                 1.1953,                0.88555,                 1.1556,                0.60062,                0.55545,                0.58745,                0.34167,                 1.5064,                 1.2878,                 1.2938,              0.0091231,              0.0091231,              0.0091231
                     33,                 1.1931,                0.88172,                 1.1565,                0.65544,                0.52738,                0.59345,                0.34102,                 1.5494,                 1.2182,                 1.3148,              0.0090949,              0.0090949,              0.0090949
                     34,                 1.1773,                0.86308,                 1.1493,                0.62845,                0.56119,                0.60995,                  0.356,                 1.5362,                 1.2039,                 1.3101,              0.0090666,              0.0090666,              0.0090666
                     35,                 1.1614,                0.85419,                 1.1403,                0.64568,                0.54971,                0.61644,                0.34981,                 1.5544,                 1.2055,                 1.3169,              0.0090383,              0.0090383,              0.0090383
                     36,                  1.173,                0.86863,                 1.1526,                0.64598,                0.56119,                0.61058,                0.34976,                 1.5217,                 1.2189,                 1.3017,                0.00901,                0.00901,                0.00901
                     37,                 1.1555,                 0.8534,                 1.1434,                 0.6441,                 0.5502,                0.61803,                0.35178,                 1.5395,                 1.2117,                 1.3124,              0.0089817,              0.0089817,              0.0089817
                     38,                 1.1597,                0.84764,                 1.1405,                0.64338,                0.56214,                0.61274,                0.35005,                  1.554,                 1.2315,                  1.314,              0.0089534,              0.0089534,              0.0089534
                     39,                 1.1514,                0.83641,                  1.137,                0.62892,                 0.5671,                0.61288,                0.34937,                 1.5309,                 1.2076,                 1.3042,              0.0089251,              0.0089251,              0.0089251
                     40,                 1.1529,                0.83851,                 1.1369,                0.58966,                0.59211,                0.60499,                0.34574,                 1.5268,                 1.2185,                 1.3078,              0.0088969,              0.0088969,              0.0088969
                     41,                 1.1415,                0.82654,                 1.1287,                0.63405,                0.52868,                0.58358,                0.33647,                 1.5579,                 1.2476,                 1.3038,              0.0088686,              0.0088686,              0.0088686
                     42,                 1.1386,                0.83207,                 1.1267,                 0.6078,                0.55163,                0.59233,                0.34962,                  1.515,                 1.2241,                 1.3071,              0.0088403,              0.0088403,              0.0088403
                     43,                 1.1319,                0.82171,                 1.1283,                 0.6305,                0.55955,                0.61002,                0.34988,                 1.5629,                 1.2111,                 1.3162,               0.008812,               0.008812,               0.008812
                     44,                 1.1462,                0.82215,                 1.1263,                0.66851,                0.55641,                 0.6224,                0.35347,                 1.5765,                 1.1621,                 1.3244,              0.0087837,              0.0087837,              0.0087837
